url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://job-boards.greenhouse.io/nerdy/jobs/7807743	2026-09-07	Greenhouse India	Senior Software Engineer (AI-Native) (Pune)	Nerdy	skipped_expired	Pune, India					nerdy
https://www.foundit.in/job/senior-software-engineer-backend-remote-jitterbit-hyderabad-secunderabad-telangana-50654525	2026-09-07	Foundit India senior engineering	Senior Software Engineer - Backend - Remote	Jitterbit	skipped_error	Hyderabad, India					jitterbit
https://www.foundit.in/job/senior-software-engineer-backend-development-python-s-p-global-hyderabad-secunderabad-telangana-49951900	2026-09-07	Foundit India senior engineering	Senior Software Engineer, Backend Development (Python)	S&P Global	skipped_error	Hyderabad, India					s and p global
https://www.foundit.in/job/senior-backend-engineer-java-moniepoint-group-bengaluru-bangalore-48233437	2026-09-07	Foundit India senior engineering	Senior Backend Engineer (Java)	Moniepoint Group	skipped_error	Bengaluru, India					moniepoint
https://www.foundit.in/job/senior-software-engineer-full-stack-ai-fulfil-uk-bengaluru-bangalore-49946274	2026-09-07	Foundit India senior engineering	Senior Software Engineer - Full Stack & AI	Fulfil UK	skipped_error	Bengaluru, India					fulfil uk
https://wellfound.com/jobs/2889543-founding-software-engineer	2026-09-07	Wellfound India backend and full-stack	Founding Software Engineer	Carbon Trail	skipped_title	India, Remote					carbon trail
https://cutshort.io/job/Senior-Software-Developer-Backend-Fullstack-Bengaluru-Bangalore-Sparkyo-Technology-Private-Limited-Syook-CnUzleoM	2026-09-07	Cutshort senior engineering	Senior Software Developer (Backend/Fullstack)	Sparkyo Technology / Syook	skipped_title	Bengaluru, Remote					sparkyo technology syook
https://job-boards.greenhouse.io/liveperson/jobs/7687141	2026-09-07	Greenhouse India	Software Development Engineer III - Node JS/Python	LivePerson	skipped_title	India, Remote					liveperson
https://jobs.ashbyhq.com/savvymoney/126f643c-2e75-4d55-b662-8c1beaccf62e	2026-09-07	Ashby India	Senior Software Development Engineer, Backend (India)	SavvyMoney	skipped_title	India, Remote					savvymoney
https://jobs.lever.co/everbridge?location=India	2026-09-07	Lever India	Everbridge	Everbridge	skipped_title	India					everbridge
https://jobs.ashbyhq.com/furtherai/fdbf6b32-97e5-49a7-9296-d7f38f265b1a	2026-09-07	Ashby India	Senior Software Engineer - Backend/Fullstack [India]	FurtherAI	skipped_age	India		2026-06-12			furtherai
https://jobs.ashbyhq.com/symmetry/0fba1d57-6c6d-49d1-a029-74b7f2532bc1	2026-09-07	Ashby India	Senior Full Stack Engineer	Symmetry	skipped_age	India, Remote		2025-12-16			symmetry
https://www.hirist.tech/j/senior-python-full-stack-engineer-1658066	2026-09-07	Hirist senior engineering	Senior Python Full Stack Engineer	Smarthyre	skipped_age	Multiple Locations		2026-07-27			smarthyre
https://jobs.ashbyhq.com/weave/4df6135c-b948-4858-a905-613103010227	2026-09-07	Ashby India	Senior Backend Engineer - Users Infrastructure	Weave	skipped_age	Remote		2026-08-14			weave
