timestamp	status	companies	boards	found	filtered_title	filtered_tier	filtered_location	filtered_posting_age	filtered_salary	filtered_content	filtered_cooldown	dupes	new_added	errors	filtered_blacklist	filtered_visa	filtered_posted_date	filtered_country_eligibility
2026-09-07T15:38:11.295Z	completed	0	6	310	303	0	4	1	0	0	0	0	2	0	0	0	0	0
2026-09-07T16:23:54.865Z	completed	43	6	18070	16815	0	981	142	0	0	0	13	119	1	0	0	0	0
2026-09-12T10:41:14.912Z	completed	54	6	20476	19022	0	1136	141	0	0	0	113	64	3	0	0	0	0
